"chain_number","name"
"60_Devis_Corner","Devi's Corner - Bangsar"
"60_Krispy_Kreme","Krispy Kreme - SOGO"
"60_The_Belgium_Taste_Chocolate_Cafe","The Belgium Taste Chocolate Cafe - Sunway Putra"
"60_Sarawak_Borneo_Noodle_House","Sarawak Borneo Noodle House - Jalan Metro Pudu [Non-Halal]"
"60_Ayam_Penyet_Best","Ayam Penyet Best - The Summit"
"60_Chocoloco_Chocolate_And_Coffee_caffe","Chocoloco Caffe - Publika"
"60_Jom_Makan","Jom Makan - Jalan Pinang"
"60_Sanoook","Sanoook - Pavilion"
"60_Delhi_Grill","Delhi Grill"
"60_TTDI_Meat_Point","TTDI Meat Point"
"60_Bisou_Bake_Shop","Bisou Bake Shop - 1Utama"
"60_Krispy_Kreme","Krispy Kreme - Sunway Putra"
"60_PoPs_Eatery","PoP's Eatery - Wangsa Maju"
"60_Bisou_Bake_Shop","Bisou Bake Shop - Bangsar"
"60_Burgertory","Burgertory - SS 15 [Non-Halal]"
"60_RGB_Coffee","RGB Coffee"
"60_Hameediyah_Oldest_Nasi_Kandar_In_Malaysia","Hameediyah Oldest Nasi Kandar - Sunway Nexis"
"60_Garage_51","Garage 51"
"60_Dindigul_Thalapakkatti","Dindigul Thalapakkatti - Brickfields"
"60_Pezzo","Pezzo - 1Utama"
"60_Mikeys_Original_New_York_Pizza","Mikey's Original New York Pizza - Bukit Damansara"
"60_Plan_B","Plan B - Mid Valley"
"60_Shihlin_Taiwan_Street_Snacks","Shihlin Taiwan Street Snacks - Sunway Pyramid"
"60_Dish_Room","Dish Room"
"60_Snowy_Cafe","Snowy Cafe"
"60_Sakae_Sushi","Sakae Sushi - The Curve"
"60_The_Cafe_Chicken_Korean_Bistro","The Cafe Chicken - Korean Bistro [Non-Halal]"
"60_La_Juiceria_Cold_Pressed_Detox_Bar","La Juiceria Cold-Pressed Detox Bar - Mid-Valley Megamall"
"60_Hoagies_On_the_Go","Hoagies On-the-Go - Nu Sentral"
"60_Al_Amar_Express","Al-Amar Express - Fahrenheit 88"
"60_Nyonya_Tingkat","Nyonya Tingkat - NU Sentral"
"60_Ahh_Yum_by_Kampong_Kravers","Ahh-Yum by Kampong Kravers - IJN"
"60_Face_To_Face_Noodle_House","Face To Face Noodle House - Bangsar [Non-Halal]"
"60_Dapoq_Metal_Food_Truck","Dapoq Metal Food Truck"
"60_Kenny_Rogers_Roasters","Kenny Rogers Roasters - 1Utama"
"60_W1","W1 - Bangsar"
"60_Fahrenheit_600","Fahrenheit 600"
"60_Salon_Du_Chocolat","Salon Du Chocolat - Publika"
"2864_Steaks_Lobsters","Steaks & Lobsters"
"60_Nasi_Lemak_Antarabangsa","Nasi Lemak Antarabangsa - Kampung Baru"
"60_Salad_Atelier","Salad Atelier Cafe - The Intermark"
"60_Baskin_Robbins","Baskin Robbins - Sunway Velocity"
"60_Simply_Green_Salad_Gallery","Simply Green Salad Gallery - The Gardens"
