"chain_number","name"
"","Yumi เกี๊ยวซ่า (ยูมิ เกี๊ยวซ่า) - ตลาดทรัพย์เจริญ พระราม9"
"Nittaya_Gai_Yang","นิตยาไก่ย่าง - แยกสะพานพระนั่งเกล้า"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส ลาดพร้าว"
"KFC","KFC (เคเอฟซี) - ยูเนี่ยนมอลล์"
"KFC","KFC (เคเอฟซี) - ไฮมมอล์ สามเสน"
"KFC","KFC (เคเอฟซี) - บิ๊กซี สะพานควาย"
"KFC","KFC (เคเอฟซี) - เซ็นทรัลพลาซา ปิ่นเกล้า"
"KFC","KFC (เคเอฟซี) - ตะวันนา มาร์เก็ต"
"KFC","KFC (เคเอฟซี) - ไซเบอร์เวิลด์ ทาวเวอร์"
"KFC","KFC (เคเอฟซี) - ถนนราชพฤกษ์"
"KFC","KFC (เคเอฟซี) - ฟิวเจอร์พาร์ค รังสิต ชั้น B"
"KFC","KFC (เคเอฟซี) - บิ๊กซี ลาดพร้าว 2"
"KFC","KFC (เคเอฟซี) - ซีคอนสแควร์"
"KFC","KFC (เคเอฟซี) - แม็กแวลู พัฒนาการ"
"KFC","KFC (เคเอฟซี) - แม็กแวลู ประชาอุทิศ"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส พระราม 1 (เจริญผล)"
"KFC","KFC (เคเอฟซี) - บิ๊กซี อ่อนนุช"
"KFC","KFC (เคเอฟซี) - ไอทีสแควร์"
"KFC","KFC (เคเอฟซี) - ปั๊มพีที รัชดา"
"KFC","KFC (เคเอฟซี) - บิ๊กซี อิสรภาพ"
"KFC","KFC (เคเอฟซี) - เอ็มบีเค เซ็นเตอร์"
"KFC","KFC (เคเอฟซี) - ปั๊มปตท. แจ้งวัฒนะ"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส เมอร์รี่คิงส์"
"KFC","KFC (เคเอฟซี) - แฟชั่นไอส์แลนด์ ชั้น 1"
"KFC","KFC (เคเอฟซี) - บิ๊กซี บางนา"
"KFC","KFC (เคเอฟซี) - เดอะมอลล์ บางแค"
"KFC","KFC (เคเอฟซี) - เจเจ มอลล์"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส บางแค"
"Katsuya","Katsuya (คัตสึยะ) - เอ็มบีเค เซ็นเตอร์"
"Akiyoshi","Akiyoshi (อะคิโยชิ) - ไทยซินสแควร์"
"","ส้มตำนัว - สยามสแควร์"
"","ธ.ก๋วยจั๊บญวน - ถนนท่าดินแดง"
"","สารคามตำแซ่บ & เป็ดย่างนายสร้าง - ถนนเจริญเวียง"
"","อากู๋ ข้าวผัดปู - ถนนจันทน์"
"","ก๋วยเตี๋ยวเนื้อตุ๋นนายส่วน - ถนนสวนสยาม"
"","แป๊ะตี๋โภชนา - ถนนสรงประภา"
"","Sor Saebyaso (ส.แซ่บยโส) - รัชดาภิเษก"
"Zaap_Classic","Zaap Classic (แซ่บ คลาสสิก) - เทสโก้ โลตัสพัฒนาการ"
"","Ma Kin Gun (มากิ๋นกั๋น) - รัชดาภิเษก"
"","สองโทน บะหมี่เกี๊ยว - ถนนฉลองกรุง"
"","Tonkok (ต้นกก) - ถนนพระรามที่ 4"
"","ข้าวมันไก่ตอนเฮียเลี้ยง - แจ้งวัฒนะ"
"","E San House (อีสานเฮาส์) - รามคำแหง"
"","ส้มตำแม่ลำยอง - ถนนนวลจันทน์"
"","ลิ้มโภชนา ข้าวมันไก่ - ตลาดพูล"
"","Cho chang somtam yok khrok ( ช ช้าง ส้มตำยกครก) - ถนนบางนา ตราด"
"","ปัง หยา อารีย์ - อารีย์"
"","น้อยลาบเป็ด - ถนนหัวหมาก"
"Somtum_Der","Somtum Der (ส้มตำเด้อ) - ทองหล่อ"
"Nittaya_Gai_Yang","นิตยาไก่ย่าง - สวนเพลิน"
"","168 ก๋วยเตี๋ยวเรือหมูตุ๋น - เกตเวย์ เอกมัย"
"Nittaya_Gai_Yang","นิตยาไก่ย่าง - ถนนบรมราชชนนี"
"","สุกี้เทเวศร์ - เทเวศร์"
"Naeki_Sushi","Naeki Sushi (นาเอะกิ ซูชิ) - ปาร์คเวนเชอร์"
"Mezzo_Coffee","Mezzo Coffee (เมซโซ่ คอฟฟี่) - โรงพยาบาลเกษมราษฏร์ บางแค"
"","ข้าวหมูแดงหมูกรอบสวนหลวง - อุดมสุข"
"Santa Fe' Steak (ซานตา เฟ่ สเต็ก)","[NO USE] Santa Fe (ซานตา เฟ่ เสต็ก) - ถนนลาดปลาเค้า"
"RED_SUN","REDSUN (เรดซัน) - Central Plaza Pinklao"
"","Archie (อาร์ชี่) - ถนนประชาธิปก"
"","Yummy Pizza (ยัมมี่ พิซซ่า) - ถนนชลประทาน"
"Joke_Siam","โจ๊กสยาม - ทาวน์อินทาวน์"
"","Owl Cup (อาวว์ คัพ) - ลาดพร้าว"
"","ขาหมูฮ่องเต้ (พรรณีย์) - อาคารราม 50"
"","ลูกชิ้นปลานายโส่ย - ถนนลาดพร้าว 101"
"","Zabver (แซ่บเวอร์) - สาขา 1 ลาดพร้าว 122"
"Nittaya_Gai_Yang","นิตยาไก่ย่าง - ถนนประชาชื่น"
