"chain_number","name"
"597_IstanBlue_Meze_and_Grill","IstanBlue Meze and Grill - 17 Baghdad Street"
"602_Hong_Seng_Curry_Rice","Hong Seng Curry Rice - Singapore Management University"
"604_Honguo","Honguo - Bugis Junction"
"605_Istanbul_Seafood_Restaurant","Istanbul Seafood Restaurant - Tampines Street  44"
"607_Kaffe_Toast","Kaffe & Toast - Woodlands Civic Centre"
"1603_Kimly_Seafood","Kimly Seafood - Kang Ching"
"1603_Kimly_Seafood","Kimly Seafood - Serangoon Avenue"
"613_iTEA","iTEA - Boon Keng"
"615_Kai_Xiang_Eatery","Kai Xiang Eatery - Zhi Char"
"1603_Kimly_Seafood","Kimly Seafood - Serangoon North"
"613_iTEA","iTEA - Bukit Gombak"
"1603_Kimly_Seafood","Kimly Seafood - Tampines"
"613_iTEA","iTEA - Jurong West"
"1603_Kimly_Seafood","Kimly Seafood - Upper Serangoon"
"613_iTEA","iTEA - Paya Lebar Square"
"618_Kajiken","Kajiken - Tras Link"
"613_iTEA","iTEA - Serangoon"
"630_Jia_Yuen","Jia Yuen - 15 Crane Road"
"631_Kims_Place","Kim's Place - 45 Joo Chiat Place"
"613_iTEA","iTEA - Tampines West"
"635_Kin_Arai_Thai_Kitchen","Kin Arai Thai Kitchen - Sultan Plaza"
"637_Jin_Ke_Xiao_Dian","Jin Ke Xiao Dian - 672 Geylang Road"
"613_iTEA","iTEA - Tampines"
"639_KIN_Handmade_Noodles_Fish_Soup_Pigs_Organ_Soup","KIN Handmade Noodles & Fish Soup & Pig's Organ Soup - 332 Ang Mo Kio Avenue 1"
"613_iTEA","iTEA - Tanjong Pagar"
"644_Kin_Kin_Thai_Kitchen","Kin Kin Thai Kitchen - Vision Exchange"
"613_iTEA","iTEA - Woodlands"
"647_Kinara","Kinara - Boat Quay"
"613_iTEA","iTEA - Yishun"
"649_Jinjja_Chicken","Jinjja Chicken - Bugis"
"651_JJ_Sarawak_Noodle","JJ Sarawak Noodle - Hong Kah Point"
"647_Kinara","Kinara - Changi Business Park"
"654_Kraftwich_by_Swissbake","Kraftwich by Swissbake - Central Mall"
"655_JJ_Thai_Cuisine","JJ Thai Cuisine - Sembawang"
"647_Kinara","Kinara - Holland Village"
"647_Kinara","Kinara - Upper East Coast Road"
"661_Kara_Cafe_and_Dessert_Bar","Kara Cafe and Dessert Bar - 617 Bukit Timah Road"
"665_JK_Don","JK Don - Telok Kurau"
"667_Kazoku_Japanese_Cuisine","Kazoku Japanese Cuisine - Goldhill Plaza [Islandwide Delivery]"
"654_Kraftwich_by_Swissbake","Kraftwich by Swissbake - Paya Lebar Square"
"672_JN_Grill","JN Grill - 34 Upper Cross Street"
"674_Kecha","Kecha - Far East Plaza"
"677_Leopold_Gastrobar","Leopold Gastrobar - 96 Tanjong Pagar Road"
"680_KuCina_Italian","KuCina Italian - OneKM"
"687_Kee_Hiong_Klang_Bak_Kut_Teh_NonH_alal","Kee Hiong Klang Bak Kut Teh - People's Park Centre"
"685_Kinsa_Sushi","Kinsa Sushi - Paya Lebar Quarter Mall (PLQ) [Islandwide Delivery]"
"686_Li_Ji_Handmade_Noodle","Li Ji Handmade Noodle - Food Xchange @ Admirality"
"688_Li_Yuan_Seafood","Li Yuan Seafood - Woodlands"
"691_Kei_Kaisedon","Kei Kaisedon - Paya Lebar Square"
"688_Li_Yuan_Seafood","Li Yuan Seafood - Yishun"
"693_Kei_Kaisendon","Kei Kaisendon - Square 2"
"695_Lian_Soon_Huat_Seafood","Lian Soon Huat Seafood - Bukit Panjang"
"697_Kitchen_No_8","Kitchen No.8 - Victory 8 [Islandwide Delivery]"
"695_Lian_Soon_Huat_Seafood","Lian Soon Huat Seafood - Yishun 417"
"700_Kyushu_Pancake_Cafe","Kyushu Pancake Cafe - Novena Regency"
"703_Kemono_Healthy_Japanese_Roast_Chicken","Kemono Healthy Japanese Roast Chicken - 171 Selegie Road [Islandwide Delivery]"
"705_La_Forketta","La Forketta - Dempsey [Islandwide Delivery]"
"707_Lighthouse_Bistro_Bar","Lighthouse Bistro & Bar - 75 Jellicoe Road"
"711_La_Nonna","La Nonna - Holland Village [Islandwide Delivery]"
"716_Lower_East_Side_Taqueria","Lower East Side Taqueria - Katong"
"722_Lagun_Sari","Lagun Sari -  Joo Chiat Road"
"724_Mian_Ba_Noodle_Delights","Mian Ba Noodle Delights - Punggol"
"726_Lai_Heng_Prawn_Noodle","Lai Heng Prawn Noodle - Teck Whye Lane"
"729_Lucky_Saigon","Lucky Saigon - North Canal Road"
"751_Ming_Fa_Fishball","Ming Fa Fishball - Peoples Park"
"736_Machans_Kitchen","Machan's Kitchen - 74 Race Course Road"
"737_Lajia_Restaurant","Lajia Restaurant - Magazine Road"
"740_Mackenzie_Rex_Restaurant","Mackenzie Rex Restaurant - Changi"
"751_Ming_Fa_Fishball","Ming Fa Fishball - Upper Thomson Road"
"740_Mackenzie_Rex_Restaurant","Mackenzie Rex Restaurant - Prinsep [Islandwide Delivery]"
