"chain_number","name"
"Dasushi","Dasushi - Phan Châu Trinh"
"TrungNguyenECoffee","Trung Nguyên E - Coffee - Bùi Thị Xuân"
"BonpasBakeryCoffee","Bonpas Bakery & Coffee - Xô Viết Nghệ Tĩnh"
"","Gà Rán Kuccu - Đỗ Quang"
"","Thịt Bò Khô 22"
"","Hủ Tiếu Nam Vang - Ngô Quyền"
"","Cơm Gà Kim Ngân"
"Comthoanhnguyen","Cơm Thố Anh Nguyễn - Bà Triệu"
"Bobapop","Bobapop - TTTM Crescent Mall"
"","Takoyaki Chochin"
"","Dimsum Mr Hào"
"","Opera Tea Club"
"","123-ZÔ – Quán Nướng Ngon HCM"
"","Trái Cây Tô Alley Fruit"
"BanhCuonTaySonMssmileFood","Bánh Cuốn Tây Sơn - Ms.smile Food - Trương Công Định"
"TrungNguyenLegend","Trung Nguyên Legend - 264A Nam Kỳ Khới Nghĩa"
"TrungNguyenLegend","Trung Nguyên Legend - 31 Phan Chu Trinh"
"","Chè Liên Đà Nẵng - Chè Sầu Liên - Điện Biên Phủ"
"","Trà Sữa Ocha House - Phan Đăng Lưu"
"","Oregano Pizza"
"","Khoai Lang Mật - Sườn Nướng CTG"
"","King Dakgalbi - Gà Xào Pho Mai - Nguyễn Chí Thanh"
"","Sữa Chua Đậu Đỏ - Nguyễn Quý Đức"
"BanhMiVoOngVang","Bánh Mì Vợ Ong Vàng - Trần Đại Nghĩa"
"","Trà Sữa HP Station"
"","Mì Cay SaSin - Nguyễn Văn Linh"
"","Nhà Hàng Hun Khói - Nguyễn Hoàng"
"","Gà Rán Kuccu - Nguyễn Phong Sắc"
"","Nắng Sài Gòn"
"","Tea & Cake"
"","Turris Bakery Coffee"
"DairyQueen","Dairy Queen - TTTM Royal City Mega Mall"
"DairyQueen","Dairy Queen - TTTM Aeon Mall Long Biên"
"Ngodobakery","Ngô Đỏ Bakery - Bánh Bò Thốt Nốt Nguyễn Sơn - Vĩnh Viễn"
"DairyQueen","Dairy Queen - TTTM Lotte Mart Gò Vấp"
"DairyQueen","Dairy Queen - TTTM Vạn Hạnh Mall"
"","Nước Cốt Bí Đao Ken Ken [Take Away]"
"Ngodobakery","Ngô Đỏ Bakery - Bạch Đằng"
"TrungNguyenLegend","Trung Nguyên Legend - 219 Lý Tự Trọng"
"","Bò Né 3 Ngon - Đường 3/2"
"ParisGateaux","Paris Gâteaux - 96 Nguyễn Khánh Toàn"
"PoemeJapaneseBakery","Poeme Japanese Bakery - Việt Hưng"
"","Lươn O Quế - Đặc Sản Nghệ An"
"MeetFresh","Meet Fresh - Ngô Đức Kế"
"ShareTea","ShareTea - 2 Tháng 9"
"","Bún Riêu Hải Béo"
"","Snow Pizza"
"","Phúc Drink - Trần Cao Vân"
"LegendaryChocolatier","Legendary Chocolatier HCM"
"","TURIN COFFEE"
"","Xiên Que Tự Chọn"
"","Yuki's Quán - Trà Sữa & Ăn Vặt"
"QuanAnNgon","Quán Ăn Ngon - 18 Phan Bội Châu"
"DairyQueen","Dairy Queen - TTTM Vincom Mega Mall Times City"
"DairyQueen","Dairy Queen - TTTM Vincom Center Bà Triệu"
"OdouceursBakery","O'douceurs Bakery"
"DairyQueen","Dairy Queen - TTTM Vincom Phạm Ngọc Thạch"
"DairyQueen","Dairy Queen - TTTM Big C Thăng Long"
"DairyQueen","Dairy Queen - TTTM Emart Gò Vấp"
"","Cơm Gà Hải Nam - Âu Cơ"
"DairyQueen","Dairy Queen - TTTM SC Vivo City"
"","Meet Fresh - Kiosk 1.8A.1"
"","Chả Cá Vọng Ngư - Nguyễn Chí Thanh"
"","Thế Giới Chè Và Quà Vặt - Ngõ Núi Trúc"
"","Quán Ơ Thương"
"","Xôi Sườn Cay 628 - Trường Trinh"
"","Pizza 123"
"Highlands","Highlands Coffee - TTTM Lotte Đà Nẵng"
"","Cơm Tấm Mộc"
"","Bếp Cô Tấm - Dương Quảng Hàm"
"TrungNguyenECoffee","Trung Nguyên E - Coffee - TTTM Aeon Citimart Phúc Yên"
"","Pane E Vino"
"","Steak & Chicken Happy - Shop Online"
"","Cơm Tấm Sườn Hia Vũ"
"","Green Land Yogurt & Tea"
"FeelingTea","Feeling Tea - Đội Cấn"
"Nguyensonbakery","Nguyễn Sơn Bakery - Xã Đàn"
"","Bánh Mì Bami Cô Bống"
"","Bánh Mì Thổ Nhĩ Kỳ Bin Bin"
"","Sữa Sạch Cô Châu"
"BanhFlanQuynhAnh","Bánh Flan Quỳnh Anh"
"ParisGateaux","Paris Gâteaux - Nguyễn Thị Định"
"","Mì Quảng Bà Mua - Đống Đa"
"","Quán Lươn Nghệ An - 568 Lạc Long Quân"
"NhaHangChayHoanHy","Nhà Hàng Chay Hoan Hỷ - BHTQ"
"TOUSlesJOURS","TOUS les JOURS - IPH"
"TokyoDeliExpress","Tokyo Deli Express - Phan Xích Long"
"TokyoDeliExpress","Tokyo Deli Express - Hoàng Đạo Thúy"
"TokyoDeliExpress","Tokyo Deli Express - Ngô Quyền"
"TokyoDeliExpress","Tokyo Deli Express - Trường Sơn"
"","Bánh Mì & Xiên Nướng - Ngõ Tự Do"
"TraSuaComebuy","Trà Sữa Comebuy - TTTM Landmark 81"
"","Gà Tươi Mạnh Hoạch - KĐT Việt Hưng"
"","Queen Bee Bakery"
"TrungNguyenECoffee","Trung Nguyên E - Coffee - Hòa Hảo"
"TrungNguyenLegend","Trung Nguyên Legend - 66 Lê Lợi"
"ParisGateaux","Paris Gâteaux - 45 Nguyễn Sơn"
"Swensens","Swensen's - TTTM Vincom Mega Mall Times City"
"AnhTuBakery","Anh Tú Bakery - 54 Lương Văn Can"
"CongCaPhe","Cộng Cà Phê - Quang Trung"
"","Huyền Béo - Omai, Hoa Quả Dầm & Sấu Các Loại"
"CongCaPhe","Cộng Cà Phê - Trích Sài"
"UncleLusCheesecake","Uncle Lu's Cheesecake - Phan Xích Long"
"","Mì Hùng Ký - Siêu Thị Aeon Citimart Cao Thắng"
"","Oribeans Coffee - Trần Huy Liệu"
"","Bánh Mì Chảo Siêu Chảo FA - Ao Sen"
"","Bánh Tráng Cuốn Sốt Mắm Me - D11"
"","Chago Tea & Cafe - Nguyễn Văn Cừ - Trà sữa"
"","Kim Oanh - Bánh Mì Bơ Mật Ong & Thịt Xiên"
"","Le Castella - Bánh Bông Lan & Trà Sữa Đài Loan - Lê Đại Hành"
"BamiBreadBanhMiHoiAn","Bami Bread - Bánh Mì Hội An - Nguyễn Văn Cừ"
"","Trà Tiên Hưởng - Cống Quỳnh"
"TokyoDeliExpress","Tokyo Deli Express - Phan Văn Trị"
"","Bánh Khúc Cô Lan - Lê Duẩn"
"BunCaCayHaiPhong","Bún Cá Cay Hải Phòng - Láng Hạ"
"","Quốc Huy - Phở Bò & Cơm Rang"
"TastersChoice","Taster's Choice - Lương Định Của "
"","Vịt Quay - 206 Lò Đúc"
"TheBlackTea","The Black Tea - Đinh Tiên Hoàng"
"","Xiu - Sữa Tươi Trân Châu Đường Đen"
"AnhTuBakery","Anh Tú Bakery - 7 Đại Cồ Việt"
"","Vịt 34 - Nghĩa Tân"
"LauCafe","Lau Cafe - Trần Quốc Hoàn"
"Nguyensonbakery","Nguyễn Sơn Bakery - Thái Thịnh"
"","Tiệm Bánh Chez Moi - Quán Thánh"
"","Phở Lân"
"","Bún Hải Sản B17"
"BanhCuonBaHoanh","Bánh Cuốn Bà Hoành"
"TiemanChoLon","Tiệm Ăn Chợ Lớn - Hồ Nghinh"
"NetHue","Nét Huế - 43 Mai Hắc Đế"
"","Chả Cá Hà Thành - Nguyễn Văn Huyên"
"","Món Ngon Đường Phố Pop Quán - Kim Mã"
"BunChaSinhTu","Bún Chả Sinh Từ - Hoàng Quốc Việt"
"AnhKafeInfinitive","Anh Kafe - Infinitive - Đinh Tiên Hoàng"
"BamiBreadBanhMiHoiAn","Bami Bread - Bánh Mì Hội An - Trần Hưng Đạo"
"","Bún Cá Sâm Cây Si - Ngõ Trung Yên"
"","Occhi - Chè Thái Lan "
"","Bít Tết 3 Hòe Nhai - Hòe Nhai"
"BunBoHue65","Bún Bò Huế 65 - Đường Láng"
"","Luna Steak & Pasta"
"","Trà Sữa 172 - Triệu Việt Vương"
"PhoLyQuocSu","Phở Lý Quốc Sư - Lê Trọng Tấn"
"","Mochi Handmade"
"","Mì Hàn Quốc - 192 Trần Duy Hưng"
"","The Rustics Coffee Shop"
"","Xôi Tám - Trần Duy Hưng"
"","Bún Chả, Bánh Cuốn, Gà Tần Duy Khôi - Cốm Vòng"
"","Bánh Mỳ Hương Lan - Kim Mã"
"","Tào Phớ Jellybean - Quang Trung"
"","Bún Dung - Bún Dọc Mùng"
"ParisGateaux","Paris Gâteaux - 213 Xã Đàn"
"","Giò Chả Quốc Hương"
"","Nấm Việt Hà Thành"
"CongCaPhe","Cộng Cà Phê - KĐT Linh Đàm"
"BamiBreadBanhMiHoiAn","Bami Bread - Bánh Mì Hội An - Nguyễn Thị Định"
"","Xôi Bự - Mai Hắc Đế"
"AcePizza","Ace Pizza - Tân Xuân"
"","Vân - Chè Bát Phố Cổ"
"","Bánh Mì Chảo & Kem Tươi Hà Đông"
"","Nướng Sapa - Nguyễn Khang"
"BunChaSinhTu","Bún Chả Sinh Từ - Giảng Võ"
"PepperonisRestaurant","Pepperonis Pizza - Hàng Trống"
"NetHue","Nét Huế - 198 Hàng Bông"
"Nguyensonbakery","Nguyễn Sơn Bakery - Xuân Diệu"
"","Diệp Diệp - Chân Gà Ngâm Sả Ớt"
"","Bún Mẹt Bà Nhon - Huỳnh Thúc Kháng"
"BanhTrangTronDaHeoLacHaiSon","Bánh Tráng Trộn, Da Heo Lắc - Hai Sơn - Ngô Thì Nhậm"
"BanhMiHoiAn","Bánh Mì Hội An - Nhất Trung"
"","Bánh Mì Thịt Xiên Cô Hương - Trần Đại Nghĩa"
"NamaSushi","Nama Sushi - Mai Anh Tuấn"
"","Paolo & Chi Restaurant Pizzeria"
"","Nhà Chay Achi - Thụy Khuê"
"","Goofoo - Trần Phú"
"BunChaSinhTu","Bún Chả Sinh Từ - Trần Khát Chân"
"","Bún Bò Huế Thu Thùy"
"ComGaPhuYenTuyetNhung","Cơm Gà Phú Yên Tuyết Nhung"
"","Thịt Xiên Nướng Cô Huyền"
"","Bún Cá Hương Quỳnh"
"","Gustoso Bistro - Hồng Hà"
"","Quà Vặt Kitty Snack"
"DrewCoffee","Drew Coffee - 6B Cửa Đông"
"","Kẹo -  Kun Chè Quán"
"KingDakgalbi","King Dakgalbi - Gà Xào Phô Mai - Hồ Tùng Mậu"
"","Bánh Cuốn Nóng - Bún Chả - Gà Tần Thuốc Bắc - Trần Quốc Hoàn"
"","Mr Good Tea - Quang Trung"
"","Hưng Còi - Bún Bò Huế - Mỹ Đình"
"","Bít Tết & Bánh Mì Chảo Trung Thành - Trần Đăng Ninh"
"CongCaPhe","Cộng Cà Phê - TTTM Hồ Gươm Plaza"
"Highlands","Highlands Coffee - Dolphin Plaza HN"
"","Quán Chay Tịnh Tâm - 43 Trần hữu Tước"
"HeekcaaSaigon","Heekcaa SaiGon - TTTM Thảo Điền"
"","Thịt Quay Vạn Thành"
"","Caramen Kem Dừa - 29 Hàng Than"
"BunChaSinhTu","Bún Chả Sinh Từ - Nguyễn Phong Sắc"
"","Chè Malaysia Bà Tuyết"
"","Bún Riêu Cua - 11 Hàng Bạc"
"","ÉTÉ Bar"
"","Chè Miền Tây Út Nhí - Dương Quảng Hàm"
"","Chè Na"
"","Cuckoo Food Shop"
"ComTamTuongHan","Cơm Tấm Tường Hân - Dịch Vọng Hậu"
"Nemchuaranbeptamthuong","Nem Chua Rán Bếp Tạm Thương - Nguyễn Trãi"
"","Cơm Rang Dưa Bò Bà Dung"
"","Cô Hằng Quán"
"BanhMiVoOngVang","Bánh Mì Vợ Ong Vàng - 169Q Tây Sơn"
"","Cốc Cốc Quán"
"","Trà Sữa Vân Tay"
"QuanHighway4","Quán Highway4 - Kim Mã"
"","Nhà hàng Hoàng Ty - Võ Văn Tần"
"TeaTimeExpress","Tea Time Express - Trường Sa"
"","Cơm Và Lẩu Nhật Bản - Donkin"
"","Bếp Cô Hà"
"","Da Heo Chiên Giòn & Khô Gà Lắc - Ngõ Tràng Tiền"
"TiemanChoLon","Tiệm Ăn Chợ Lớn - Ông Ích Khiêm"
"","Cơm Ngon - LOTTE Mart Tân Bình"
"LeMondeSteak","Le Monde Steak - Hoàng Cầu"
"CheBoOngGiaTocBac","Chè Bơ Ông Già Tóc Bạc - Lò Đúc"
"","Chè Dừa Thái Lan - Nguyễn Phong Sắc"
"ParisGateaux","Paris Gâteaux - 140 Tôn Đức Thắng"
"ValhallaGrill","Valhalla Grill - Hàng Buồm"
"EmCrepe","Bánh Sầu Riêng Em Crepe - Vành Đai"
"PepperonisRestaurant","Pepperonis Pizza - Trần Phú"
"","Phương Min - Bông Lan Trứng Muối Online"
"","Trà Sữa Fu's Tea"
"","Ship Đồ Ăn Đêm Hà Nội"
"","Liên Béo - Bánh Xèo, Nem lụi - Quỳnh Mai"
"","Tokbokki - Phan Châu Trinh"
"Nguyensonbakery","Nguyễn Sơn Bakery - Kim Mã"
"","Cơm Chay Loving Hut - Nguyễn Trãi"
"","Bò Ngon - Bò Nhúng Dấm 555 - Giảng Võ"
"CowboyJacksAmericanDining","Cowboy Jack’s Saloon - Tòa nhà Mipec Tower Tây Sơn"
"","Enjoy Coffee & Chè"
"","BAMITACO - Coffee & Bread"
"BanhMiPho","Bánh Mì Phố - Thái Thịnh"
"","Bin Restaurant"
"","Đặc Sản Lào - Xô Viết Nghệ Tĩnh"
"","Paradise - Lẩu online - Văn Quán"
"ParadiseComVanPhongOnline","Paradise - Cơm Văn Phòng Online - Tôn Đức Thắng"
"","Chè Dung - Hàng Bạc"
"","Phở Cuốn Thanh Hằng"
"EffocCoffee","Effoc Coffee - Xô Viết Nghệ Tĩnh"
"","Bánh Cá Taiyaki Nani"
"","Bún Chả Cá Quy Nhơn Hiếu Tiên"
"","Đế Pizza Nghĩa - Thịnh Hào"
"","Cơm Gà Bà Nguyệt - Lê Đình Dương "
"","Thanh Thúy - Gà Mẹt, Gà Không Lối Thoát"
"","Bún Chả, Bún Hải Sản Bà Thành - Đào Tấn"
"","Ốc Bé Ly"
"CongCaPhe","Cộng Cà Phê - Cầu Gỗ"
"","Gà Tươi Mạnh Hoạch - Nhà Hàng Cường 556 - Vạn Phúc"
"","Huyền Linh - Sữa Chua & Hoa Quả Dầm"
"","Lemon House - Giảng Võ"
"","Gà Mẹt & Gà Không Lối Thoát - Thiên Sơn Quán"
"","Đón - Món Ngon Hà Nội"
