"chain_number","name"
"Turks","Turks - SM Sta Mesa"
"Turks","Turks - Robinsons Forum"
"Turks","Turks - SM Grace Mall"
"Turks","Turks - SM East Ortigas"
"Turks","Turks - Waltermart North EDSA"
"BigGuysPizza","Big Guys! Pizza - E Rodriquez"
"Turks","Turks - Robinsons Metro East"
"Turks","Turks - SM Marikina"
"Turks","Turks - SM Sucat"
"Turks","Turks - Pergola Mall"
"Turks","Turks - Fairview Terraces (Ground Floor)"
"Turks","Turks - Ayala Malls the 30th"
"Turks","Turks - Theatre Mall"
"Turks","Turks - Venice Grand Canal"
"YiFangTaiwanFruitTea","Yi Fang Taiwan Fruit Tea - Trinoma"
"Turks","Turks - Victoria Towers Timog"
"OgawaTraditionalJapaneseRestaurant","Ogawa Traditional Japanese Restaurant - BGC"
"RockosHerbRoastedChicken","Rocko's Herb-Roasted Chicken - Balut Tondo"
"RockosHerbRoastedChicken","Rocko's Herb-Roasted Chicken - Poblacion"
"YabuHouseofKatsu","Yabu: House of Katsu - UP Town Center"
"Turks","Turks - Pacific Mall"
"Turks","Turks - SM San Lazaro"
"Turks","Turks - 168 Shopping Mall (3rd Floor)"
"HenLin","Hen Lin - Puregold Sucat"
"YoyisPastriesandDesserts","Yoyi's Pastries and Desserts - Capitol Site"
"AlbaRestauranteEspanol","Alba Restaurante Espanol - Prism Plaza"
"AuntieAnnes","Auntie Anne's - Cash & Carry"
"Turks","Turks - Welcome Plaza"
"Turks","Turks - SM Jazz Mall"
"BuffalosWingsNThings","Buffalo's Wings N' Things - SM Mall of Asia"
"YabuHouseofKatsu","Yabu: House of Katsu - Robinsons Magnolia"
"AuntieAnnes","Auntie Anne's - Science Hub"
"BugisSingaporeStreetFood","Bugis Singapore Street Food - San Juan"
"BugisSingaporeStreetFood","Bugis Singapore Street Food - Nicanor Roxas"
"YabuHouseofKatsu","Yabu: House of Katsu - SM North Edsa"
"YiFangTaiwanFruitTea","Yi Fang Taiwan Fruit Tea - Mango Tree Residences"
"AuntieAnnes","Auntie Anne's - Waltermart Makati"
"Turks","Turks - Elizabeth Mall"
"Turks","Turks - SM Manila"
"FamousBelgianWaffles","Famous Belgian Waffles - SM Manila"
"BuffalosWingsNThings","Buffalo's Wings N' Things - SM Manila"
"BuffalosWingsNThings","Buffalo's Wings N' Things - SM North EDSA"
"FamousBelgianWaffles","Famous Belgian Waffles - Lucky Chinatown Mall"
"ChefArnoldsPizza","Chef Arnold's Pizza - Addition Hills"
"HenLin","Hen Lin - FEU Main"
"BlakesWingsSteaks","Blake's Wings & Steaks - SM North Edsa"
"BlakesWingsSteaks","Blake's Wings & Steaks - Katipunan"
"FamousBelgianWaffles","Famous Belgian Waffles - SM North EDSA"
"Hunchos","Hunchos - Concepcion Dos"
"JuansBistro","Juan's Bistro - SM Mall of Asia"
"WorldChicken","World Chicken - Glorietta 4"
"BulaloFiesta","Bulalo Fiesta - Berkeley Square"
"CafeAcelo","Cafe Acelo - Holiday Spa Hotel"
"CrazyLemons","Crazy Lemons - Festival Mall"
"UncleRonisPub","Uncle Roni's Pub - Roxas"
"GenkiSushi","Genki Sushi - UP Town Center"
"Garahe","Garahe - San Jose Street"
"Octoboy","Octoboy - Tomas Morato"
"KanzhuHandPulledNoodles","Kanzhu Hand-Pulled Noodles - Little Baguio"
"PaperMoon","Paper Moon - Vertis North"
"PotDogYummyYesDelights","PotDog YummyYes Delights - Alabang Town Center"
"JafarsShawarmaStation","Jafar's Shawarma Station - Banilad Town Center"
"EricKayser","Eric Kayser - Rockwell"
"AftersEspressoDesserts","Afters Espresso & Desserts - Tomas Morato"
"KennyRogersRoasters","Kenny Rogers Roasters - SM Annex"
"CasaEmpanada","Casa Empanada - Festival Supermall"
"SaladStop","SaladStop! - Burgos Circle"
"BenchCafe","Bench Cafe - Fort Bonifaco"
"FieryStyle","Fiery Style - Resorts World"
"LittleIndiaHealthyCuisine","Little India Healthy Cuisine - Malingap Street"
"RoyalGotoPares","Royal Goto Pares - Tambo"
"Manongs","Manong's - Kasambagan"
"ToriIchiYakitoriandBar","Tori Ichi Yakitori and Bar - Filinvest"
"EtonsandBennysSizzlingRestaurant","Eton's and Benny's Sizzling Restaurant - Dona Soledad"
"FieryStyle","Fiery Style - Mall of Asia"
"MisterDonut","Mister Donut - SM Fairview Parkway"
"FTWForTheWingsChickenKorner","FTW For-The-Wings Chicken Korner - Moonwalk Village"
"TousLesJours","Tous Les Jours - SM North Edsa"
"Nolita","Nolita - Madison Galeries"
"TheWholesomeTable","The Wholesome Table - Bonifacio High Street"
"MisterDonut","Mister Donut - Araneta Bus Terminal"
"ScoutsHonor","Scout's Honor - Vertis North"
"SaladStop","SaladStop! - Central Square Mall"
"ReyesBarbecue","Reyes Barbecue - Market! Market!"
"ThePerfectPint","The Perfect Pint - Molito Alabang"
"FiveSpiceBistro","Five Spice Express - Binondo"
"EricKayser","Eric Kayser - Makati"
"KannaCoffeeTea","Kanna Coffee & Tea - General Maxilom Avenue"
"Barcino","Barcino - Ayala 30th"
"IMAKitchen","IMA Kitchen - Calle Bistro"
"GrillersSteakHouseCebu","Griller's Steak House Cebu - TP Building"
"TGIFridays","TGI Fridays - Bonifacio High Street"
"TGIFridays","TGI Fridays - Alabang Town Center"
"Dennys","Denny's - Eastwood Mall Veranda"
"Dennys","Denny's - Uptown Mall"
"Chiquitos","Chiquitos - Dapitan"
"ItaliannisRestaurant","Italianni's Restaurant - Alabang Town Center"
"Watami","Watami - SM Mall of Asia"
"HapponRamenHouse","Happon Ramen House - Cepeda Street"
"Kukuk's Nest","Kukuk's Nest - Kamputhaw"
"CoffeeProject","Coffee Project - Starmall Alabang"
"Barcino","Barcino - Molito Lifestyle Extension"
"AlbaRestauranteEspanol","Alba Restaurante Espanol - West Gate"
"CherrysTheSpice","Cherry's The Spice - Banilad"
"BacolodChknBBQHouse","Bacolod Chk-n-BBQ House - Festival Supermall"
"SizzlinSteak","Sizzlin' Steak - Festival Supermall"
"Congo Grille","Congo Grille - SM Mall of Asia"
"JasmineTeaHouse","Jasmine Tea House - Tisa Katipunan"
"PlanetVegis","Planet Vegis - Guadalupe"
"GentlemenCafe","Gentlemen Cafe - SM Cebu"
"01_CoffeeProject","Coffee Project - Vista Mall Taguig"
"ParmigianoRistorantePizzeria","Parmigiano Ristorante Pizzeria - Molito Commercial Complex"
"EasternHub","Eastern Hub - Guadalupe"
"TheCafeMediterranean","The Cafe Mediterranean - Alabang Town Center"
"AlterEgo","Alter Ego - New Manila"
"TsokoNutBatirol","Tsoko.Nut Batirol - Fastbytes Alabang"
"TousLesJours","Tous Les Jours - Alabang Town Center"
"CasaEmpanada","Casa Empanada - SM North Edsa"
"Barcino","Barcino - UP Town Center"
"CoffeeProject","Coffee Project - Wil Tower"
"AsakusaHomeofTempura","Asakusa Home of Tempura - Vertis North"
"ArtCircleGallerysCafe","Art Circle Cafe - Magsaysay"
"SukiGyouza","Suki Gyouza - Eden Food Hall"
"PeriPeriCharcoalChickenSauceBar","Peri Peri Charcoal Chicken & Sauce Bar - Robinsons Place Manila"
"RyansPizzarelliHouse","Ryan's Pizzarelli House - Maria Christina Extension"
"GongCha","Gong Cha - Met Live"
"Tiktilaok","Tiktilaok! - Elizabeth Mall Supermarket"
"BubbleBeeTeaHouse","Bubble Bee Tea House - TSI Building"
"KennyRogersRoasters","Kenny Rogers Roasters - Kidzania"
"WhiteCampCoffeeKitchen","White Camp Coffee & Kitchen - Mother Ignacia"
"WeeNamKee","Wee Nam Kee - Alabang Town Center"
"MaChickenMamiHouse","Ma Chicken Mami House - Trinoma Mall"
